# time tx ty tz qx qy qz qw
74.000000 0.651676 -1.106406 0.292223 -0.027634 0.351773 0.206234 0.912666
75.000000 0.246811 -1.701457 -0.402039 -0.038062 0.358047 0.215239 0.907759
76.000000 0.195747 -0.707519 -0.304666 -0.042482 0.364044 0.217311 0.904679
77.000000 0.061554 0.154949 -0.792663 -0.045459 0.368985 0.224117 0.900864
78.000000 -0.167085 0.928023 -1.384338 -0.057924 0.376029 0.230514 0.895606
79.000000 0.498178 1.533522 -0.947534 -0.068475 0.381226 0.235101 0.891463
80.000000 1.032063 2.347283 -0.717842 -0.077198 0.385387 0.240767 0.887439
81.000000 1.245759 1.536651 -0.172673 -0.093011 0.391547 0.251005 0.880362
82.000000 1.615541 2.418819 0.118947 -0.102860 0.394461 0.259359 0.875530
83.000000 2.241616 2.731223 0.833393 -0.113374 0.397254 0.266777 0.870727
84.000000 2.522690 3.645175 1.126119 -0.122823 0.400858 0.273290 0.865760
85.000000 3.091208 4.019451 1.858720 -0.133706 0.405117 0.282157 0.859296
86.000000 3.365450 3.456500 2.638385 -0.144642 0.409266 0.291986 0.852247
87.000000 3.753530 4.184616 3.203398 -0.152852 0.411327 0.303392 0.845813
88.000000 4.468610 4.042026 3.887744 -0.165164 0.414756 0.313860 0.837968
89.000000 4.326331 4.963799 3.527062 -0.164963 0.414756 0.327325 0.832840
90.000000 4.020318 4.093086 3.142076 -0.174161 0.415660 0.340098 0.825365
91.000000 3.747776 5.027233 3.372488 -0.182923 0.417842 0.347356 0.819323
92.000000 3.528873 4.183004 2.883245 -0.190625 0.418516 0.361951 0.810863
93.000000 3.825898 4.849694 3.566838 -0.200690 0.419015 0.372503 0.803363
94.000000 4.248696 5.603844 4.069333 -0.211067 0.418430 0.383279 0.795905
95.000000 4.870695 5.820236 4.821856 -0.221473 0.418962 0.391864 0.788583
96.000000 4.830015 6.817545 4.882843 -0.224194 0.419743 0.399551 0.783525
97.000000 4.699292 7.689571 5.354523 -0.228979 0.422861 0.406228 0.777004
98.000000 4.605407 7.836404 6.339219 -0.235096 0.426128 0.413715 0.769406
99.000000 4.611652 8.557932 7.031576 -0.239156 0.426982 0.420334 0.764074
100.000000 4.105711 7.741770 7.310689 -0.241874 0.426158 0.427983 0.759419
101.000000 4.722869 8.369035 7.785721 -0.244824 0.428802 0.433096 0.754067
102.000000 4.141448 8.202821 8.582164 -0.246602 0.438610 0.433503 0.747585
103.000000 3.933776 8.346560 9.549745 -0.246645 0.441745 0.436254 0.744117
104.000000 3.438609 8.842327 10.263205 -0.243983 0.445442 0.439733 0.740735
105.000000 3.341028 9.250131 11.171045 -0.240938 0.449501 0.439925 0.739164
106.000000 3.998075 9.417217 10.435945 -0.236996 0.445341 0.443207 0.740994
107.000000 4.017296 10.063144 11.199103 -0.232120 0.450431 0.438610 0.742195
108.000000 3.904130 10.676442 11.980805 -0.223299 0.458512 0.432751 0.743391
109.000000 3.414694 9.870644 11.647423 -0.213734 0.467578 0.424406 0.745364
110.000000 3.451202 10.855728 11.815583 -0.205832 0.475850 0.414756 0.747781
111.000000 3.352987 11.652104 12.412357 -0.193536 0.482512 0.407068 0.751014
112.000000 3.772704 10.755201 12.273062 -0.190992 0.487634 0.399124 0.752619
113.000000 4.133089 9.854160 12.031718 -0.184100 0.492870 0.390864 0.755256
114.000000 3.750364 9.042226 11.590939 -0.173166 0.497745 0.383069 0.758632
115.000000 3.539024 9.973792 11.886778 -0.162457 0.503409 0.374147 0.761709
116.000000 3.969874 9.253875 11.342638 -0.155817 0.503155 0.371308 0.764648
117.000000 4.383098 8.412959 11.692076 -0.156102 0.511006 0.366201 0.761841
118.000000 4.508528 8.983115 12.503980 -0.139233 0.521033 0.360963 0.760818
119.000000 5.000028 8.313921 11.946659 -0.131610 0.526621 0.356944 0.760223
120.000000 4.702883 7.861642 11.105738 -0.118586 0.539000 0.345318 0.759060
121.000000 3.739321 7.890415 11.371673 -0.104438 0.556950 0.328427 0.755669
122.000000 2.768170 7.727108 11.545444 -0.090719 0.576277 0.313302 0.749344
123.000000 2.540784 7.094648 10.804978 -0.075729 0.595497 0.300062 0.741358
124.000000 3.027222 6.688893 10.031194 -0.064994 0.608024 0.289576 0.736361
125.000000 2.261953 7.090554 10.534216 -0.045026 0.633984 0.264051 0.725475
126.000000 1.386049 7.199742 11.004185 -0.028163 0.654916 0.243095 0.714980
127.000000 1.815589 7.921313 11.547168 -0.010866 0.671994 0.225389 0.705340
128.000000 1.957984 7.103147 10.990097 -0.003234 0.680559 0.220358 0.698764
129.000000 2.229453 6.274512 10.500538 -0.001668 0.686242 0.223230 0.692270
130.000000 2.699998 7.055254 10.911669 0.009822 0.698241 0.208953 0.684618
131.000000 3.253847 7.825617 11.227570 0.019927 0.707996 0.198293 0.677513
132.000000 2.840166 8.560548 11.764918 0.029113 0.716907 0.188412 0.670595
133.000000 2.938881 7.789524 11.135811 0.026368 0.718827 0.190748 0.667988
134.000000 3.438290 8.613133 11.404620 0.039400 0.728367 0.179829 0.659993
135.000000 3.187883 7.851479 10.806974 0.049661 0.734750 0.170706 0.654626
136.000000 3.878098 8.549654 10.997118 0.062312 0.744908 0.158864 0.644974
137.000000 4.376524 9.365056 11.291553 0.075546 0.752881 0.150221 0.636314
138.000000 5.127268 10.021883 11.362002 0.089133 0.759362 0.141507 0.628809
139.000000 5.699874 10.841359 11.386110 0.098918 0.765747 0.132827 0.621453
140.000000 5.278476 11.288177 12.175273 0.109122 0.774357 0.120577 0.611494
141.000000 5.021676 12.012869 12.814707 0.115606 0.783213 0.105057 0.601810
142.000000 5.197014 12.717491 13.502286 0.131704 0.798887 0.082295 0.581087
143.000000 4.851905 11.992850 12.905800 0.127454 0.803239 0.085700 0.575516
144.000000 4.595582 12.534705 13.706232 0.134431 0.812817 0.079495 0.561193
145.000000 4.847150 13.212139 14.397461 0.145494 0.824485 0.067486 0.542680
146.000000 5.173928 13.507117 15.295350 0.151367 0.834796 0.059036 0.526040
147.000000 6.077898 13.194686 15.003414 0.154148 0.840946 0.053488 0.515933
148.000000 7.030184 13.179649 14.698579 0.155558 0.846524 0.048052 0.506843
149.000000 7.960522 13.267422 15.054624 0.154980 0.852217 0.041124 0.498012
150.000000 8.581433 13.624211 15.752600 0.160984 0.859918 0.032127 0.483314
151.000000 9.112232 14.127491 16.434481 0.164679 0.866210 0.022813 0.471211
152.000000 8.163919 14.174498 16.120646 0.162756 0.867779 0.023543 0.468953
153.000000 7.219254 14.494760 16.191649 0.158451 0.871718 0.028082 0.462831
154.000000 8.206909 14.436256 16.046338 0.153089 0.876807 0.035087 0.454468
155.000000 9.142071 14.394788 15.694553 0.150598 0.880995 0.045394 0.446215
156.000000 8.300665 14.635814 16.178229 0.145513 0.883632 0.061301 0.440752
157.000000 9.095792 14.178972 15.779396 0.137653 0.885169 0.078714 0.437414
158.000000 9.453685 15.097488 15.947445 0.136312 0.886450 0.086890 0.433677
159.000000 9.526951 16.084947 15.807601 0.136158 0.885431 0.091424 0.434872
160.000000 9.821488 16.926486 15.354766 0.127698 0.885540 0.101921 0.434884
161.000000 10.504398 16.265234 15.044313 0.121343 0.886830 0.124812 0.428053
162.000000 11.358125 16.784730 15.079997 0.114051 0.887629 0.141204 0.423283
163.000000 11.778095 16.062655 14.530240 0.106097 0.885810 0.164670 0.420676
164.000000 12.448104 16.786317 14.364707 0.098695 0.884521 0.182619 0.417771
165.000000 12.063859 15.958803 14.774067 0.093402 0.882760 0.199938 0.414772
166.000000 12.605290 16.536081 14.162837 0.087839 0.881188 0.217633 0.410399
167.000000 13.277081 17.202605 13.839661 0.080436 0.880258 0.235258 0.404140
168.000000 13.771121 17.917184 13.344383 0.073679 0.880397 0.249239 0.396677
169.000000 14.370658 18.343716 12.667163 0.070393 0.880026 0.264462 0.388149
170.000000 14.832857 19.098442 12.201588 0.067296 0.877890 0.281276 0.381660
171.000000 15.389689 19.552092 11.505786 0.061626 0.874729 0.298925 0.376425
172.000000 14.972536 18.746800 11.927079 0.059811 0.871678 0.315505 0.370212
173.000000 15.411932 19.579104 11.589144 0.053414 0.868009 0.331816 0.365520
174.000000 15.120140 18.679419 11.913833 0.049314 0.863460 0.349124 0.360717
175.000000 15.708313 18.162002 11.292277 0.043437 0.860137 0.361561 0.357144
176.000000 14.913670 18.459045 11.821719 0.038807 0.856383 0.375761 0.352003
177.000000 14.943082 19.458601 11.816966 0.033009 0.851434 0.392465 0.346325
178.000000 14.818194 20.445339 11.920659 0.032827 0.845836 0.410264 0.339363
179.000000 15.424857 20.240607 11.152515 0.031180 0.838248 0.428996 0.335158
180.000000 15.026966 21.129555 11.379348 0.031243 0.831894 0.438586 0.338553
181.000000 14.985975 21.885568 12.032621 0.027706 0.827844 0.447394 0.337261
182.000000 14.775181 20.995034 11.629489 0.020823 0.820055 0.463366 0.335213
183.000000 14.624216 21.867104 12.095003 0.016509 0.814926 0.473876 0.333263
184.000000 14.172283 21.130637 12.598364 0.013182 0.806358 0.490108 0.330768
185.000000 14.544948 20.801090 11.730885 0.011812 0.799592 0.503656 0.326870
186.000000 14.715050 21.709647 11.349324 0.011658 0.791587 0.518048 0.323852
187.000000 14.289084 21.502559 12.230044 0.007235 0.782053 0.532861 0.323111
188.000000 14.738441 21.328793 11.353754 0.002396 0.772463 0.547171 0.322333
189.000000 14.364625 21.647825 12.224662 0.000263 0.767602 0.554588 0.321278
190.000000 14.361923 20.906700 11.553300 -0.008458 0.756778 0.569779 0.320260
191.000000 14.110066 21.654694 12.167362 -0.014443 0.751354 0.577935 0.318198
192.000000 13.649405 21.935445 13.009366 -0.017444 0.749815 0.581183 0.315751
193.000000 14.185818 22.075827 12.177168 -0.023635 0.743679 0.590485 0.312588
194.000000 14.927985 22.099396 11.507367 -0.029996 0.736536 0.601173 0.308555
195.000000 14.223055 22.568517 12.039344 -0.030723 0.730975 0.610537 0.303277
196.000000 14.506911 23.521903 12.141715 -0.030208 0.723881 0.622904 0.295084
197.000000 13.676307 23.333560 12.665761 -0.029999 0.715469 0.634456 0.290981
198.000000 13.191448 22.563561 13.080505 -0.029597 0.704870 0.647527 0.288080
199.000000 13.258528 22.408463 12.094886 -0.028780 0.696961 0.657072 0.285786
200.000000 12.842846 22.543320 12.994343 -0.028780 0.696961 0.657072 0.285786
201.000000 13.550276 23.027133 12.479107 -0.028556 0.693288 0.663580 0.279640
202.000000 13.881571 23.958801 12.329979 -0.029643 0.688710 0.669916 0.275704
203.000000 14.760919 24.434564 12.310081 -0.031100 0.685228 0.674840 0.272188
204.000000 14.002960 24.117829 12.880325 -0.030295 0.683865 0.677303 0.269578
205.000000 13.919680 23.207357 12.475226 -0.028590 0.682879 0.679704 0.266198
206.000000 13.158770 23.834967 12.310539 -0.022461 0.681451 0.680682 0.267942
207.000000 12.958652 24.178606 13.228070 -0.020664 0.684657 0.677670 0.267547
208.000000 12.286282 23.971053 13.938591 -0.016039 0.695639 0.666953 0.266463
209.000000 12.089257 23.680115 14.874827 -0.010439 0.708510 0.655924 0.260131
210.000000 12.084985 23.769326 13.878823 -0.005016 0.718201 0.646773 0.256606
211.000000 11.670404 23.464000 13.021561 -0.002249 0.728505 0.634541 0.258134
212.000000 12.057399 23.759486 13.895016 -0.003198 0.739022 0.621748 0.259357
213.000000 11.489092 23.472513 14.666168 -0.007769 0.753055 0.604285 0.260170
214.000000 11.420457 23.720824 13.699922 -0.010614 0.765849 0.589398 0.256853
215.000000 11.630987 24.027816 14.628056 -0.010048 0.781708 0.571180 0.250170
216.000000 11.823628 24.554235 15.456169 -0.000755 0.814929 0.530559 0.233233
217.000000 11.551667 23.686668 15.872540 -0.000118 0.830846 0.509346 0.224191
218.000000 10.962078 23.248621 15.193939 0.012098 0.820348 0.517193 0.243710
219.000000 10.723171 22.277758 15.175216 0.023195 0.835815 0.497299 0.231449
220.000000 10.532017 21.412695 15.639032 0.027856 0.852053 0.474239 0.219833
221.000000 10.398637 20.961043 16.521200 0.033507 0.868461 0.449810 0.205726
222.000000 10.142476 20.401224 15.733174 0.041490 0.873825 0.442212 0.197881
223.000000 10.117904 20.105120 14.778335 0.043796 0.886427 0.420612 0.188189
224.000000 10.292466 20.524848 15.669040 0.044943 0.898813 0.398179 0.177679
225.000000 10.257802 20.941108 16.577625 0.056110 0.909139 0.379042 0.163234
226.000000 10.699133 21.836070 16.642966 0.063455 0.916367 0.364358 0.153261
227.000000 10.756643 21.962010 17.633335 0.065948 0.923397 0.349492 0.144378
228.000000 10.971785 22.495676 18.451207 0.072899 0.932499 0.329475 0.128751
229.000000 10.859142 22.874179 19.369928 0.075218 0.939939 0.312112 0.115941
230.000000 11.248359 23.500638 20.045248 0.080004 0.947300 0.293051 0.101700
231.000000 11.987755 24.045377 19.649579 0.082643 0.953146 0.276302 0.091329
232.000000 12.181930 24.749834 20.332248 0.086920 0.959728 0.255118 0.079264
233.000000 12.505676 25.446666 20.972259 0.089226 0.966534 0.231606 0.064884
234.000000 13.247992 26.036957 21.289312 0.093275 0.971067 0.213843 0.050998
235.000000 12.790104 25.269752 20.840163 0.095043 0.972001 0.209958 0.045806
236.000000 12.891535 26.254771 20.700707 0.095658 0.975313 0.195930 0.035019
237.000000 12.566922 25.321849 20.544879 0.096278 0.977054 0.188351 0.024883
238.000000 11.903158 24.750915 20.061711 0.101258 0.978082 0.180864 0.019769
239.000000 11.872541 25.200160 20.954595 0.104680 0.980929 0.163538 0.008697
240.000000 12.062014 25.722672 20.123282 0.109212 0.982497 0.150879 -0.002812
241.000000 12.079522 26.540919 20.697882 0.116173 0.984521 0.130397 -0.014819
242.000000 12.542290 27.426698 20.662627 0.125117 0.984593 0.119173 -0.026830
243.000000 12.619239 27.393698 21.659115 0.128358 0.985639 0.103187 -0.037304
244.000000 12.626248 26.743411 22.418772 0.128846 0.986642 0.088496 -0.045882
245.000000 12.163550 26.229944 21.696095 0.127689 0.987624 0.072647 -0.054932
246.000000 12.833327 26.656723 22.303761 0.124495 0.988553 0.055629 -0.064573
247.000000 13.584788 27.277611 22.526932 0.120800 0.989185 0.039491 -0.073218
248.000000 14.011474 28.055108 22.988924 0.116162 0.989889 0.026026 -0.077129
249.000000 13.958514 28.754018 22.275678 0.110478 0.990420 0.017103 -0.081054
250.000000 13.257226 28.046334 22.361573 0.109425 0.990743 0.014306 -0.079062
251.000000 14.014497 28.688369 22.481285 0.103328 0.990631 -0.004247 -0.089191
252.000000 14.374049 29.407563 21.886741 0.096023 0.990852 -0.010890 -0.094198
253.000000 13.700115 28.951410 22.467892 0.090013 0.991132 -0.014016 -0.096743
254.000000 14.055153 28.759068 23.382743 0.086149 0.990614 -0.018774 -0.104450
255.000000 13.571162 28.516660 22.541916 0.083757 0.989956 -0.023096 -0.111532
256.000000 13.698287 28.529829 23.533715 0.084697 0.989259 -0.025639 -0.116345
257.000000 13.865099 28.662253 24.510771 0.085942 0.988698 -0.025833 -0.120093
258.000000 13.433442 28.580964 23.612403 0.086021 0.988136 -0.024470 -0.124859
259.000000 13.805448 28.689536 24.534262 0.084743 0.987503 -0.023024 -0.130865
260.000000 12.919255 28.511265 24.961908 0.084460 0.987498 -0.018581 -0.131791
261.000000 12.648986 28.407377 24.004745 0.082805 0.986635 -0.015826 -0.139446
262.000000 12.960173 28.498218 24.950742 0.084183 0.985519 -0.012687 -0.146647
263.000000 13.103257 28.068969 24.058961 0.085814 0.984942 -0.006925 -0.149922
264.000000 12.940180 28.794074 24.728012 0.087932 0.984484 0.001325 -0.151846
265.000000 13.236576 27.999306 25.257628 0.087334 0.984025 0.015697 -0.154342
266.000000 12.670918 28.820321 25.334865 0.085168 0.984176 0.025047 -0.153350
267.000000 13.239286 28.019532 25.145936 0.086458 0.983036 0.040696 -0.156551
268.000000 13.002621 28.968061 25.356368 0.086518 0.982721 0.050046 -0.155784
269.000000 12.659911 28.158952 25.833749 0.087839 0.981413 0.065749 -0.157451
270.000000 12.977534 27.263220 25.522653 0.091363 0.980177 0.077735 -0.157682
271.000000 12.595350 26.360698 25.324188 0.094538 0.978448 0.092505 -0.158569
272.000000 12.804011 27.303611 25.583756 0.097076 0.976874 0.104787 -0.159101
273.000000 13.052682 26.659897 26.307493 0.101325 0.974644 0.119965 -0.159409
274.000000 13.246904 27.535340 25.864913 0.105646 0.972091 0.136416 -0.158959
275.000000 13.425817 26.814986 26.535047 0.108439 0.969187 0.154741 -0.158030
276.000000 13.525105 26.078951 27.204670 0.114213 0.965721 0.171254 -0.158145
277.000000 13.538575 27.065449 27.367887 0.115720 0.963345 0.184411 -0.156738
278.000000 13.221301 27.810132 26.780703 0.117447 0.959651 0.202311 -0.156036
279.000000 13.393632 26.854127 27.018100 0.122382 0.954836 0.220290 -0.157427
280.000000 13.079719 27.749555 26.702397 0.127472 0.950128 0.236852 -0.157826
281.000000 12.938954 28.698933 26.983230 0.129916 0.947004 0.249681 -0.154805
282.000000 12.764042 29.655603 26.750449 0.133695 0.942282 0.265725 -0.153691
283.000000 12.989358 30.411186 26.135366 0.137559 0.937066 0.281247 -0.154551
284.000000 12.980005 31.371166 26.415279 0.139526 0.932696 0.294711 -0.154131
